"qsFreqValue","qsFreqCounts","qsFreqColumnID","qsFreqHeaderFlag"
"44100","0000000002 0000000000 0000000000 ","18","1"
"50000","0000000001 0000000000 0000000000 ","18","1"
"6140","0000000001 0000000000 0000000000 ","18","1"
"64000","0000000001 0000000000 0000000000 ","18","1"
"6700","0000000001 0000000000 0000000000 ","18","1"
"72000","0000000002 0000000000 0000000000 ","18","1"
"72100","0000000001 0000000000 0000000000 ","18","1"
"_qsM_ZIP_STD","0000000000 0000000000 0000000000 0000000010 0000000000 0000000000 0000000015 ","20","0"
"00000003100","0000000002 0000000000 0000000000 ","20","1"
"00000006140","0000000001 0000000000 0000000000 ","20","1"
"00000006700","0000000001 0000000000 0000000000 ","20","1"
"00000022000","0000000002 0000000000 0000000000 ","20","1"
"00000037000","0000000002 0000000000 0000000000 ","20","1"
"00000044100","0000000002 0000000000 0000000000 ","20","1"
"00000050000","0000000001 0000000000 0000000000 ","20","1"
"00000064000","0000000001 0000000000 0000000000 ","20","1"
"00000072000","0000000002 0000000000 0000000000 ","20","1"
"00000072100","0000000001 0000000000 0000000000 ","20","1"
